category,name,price,description,veg_nonveg,spice_level,restaurant name,location,contact,operating hour,dining rating,delivery rating
Veg Kaathi Rolls,Masala Corn Roll,₹129,"The Masala Corn Roll is a delicious and savory roll that's sure to satisfy your taste buds. This roll features a blend of sweet corn that has been cooked with aromatic spices to create a flavorful filling and it is then topped with mayo. Rolled in laccha paratha and served with mint sauce, tomato ketchup.",Veg,Normal,Baap Of Rolls,"22, Civil Lines, Haridwar Road, Roorkee Locality, Roorkee",+911141182222,10:00 AM - 11:00 PM,0,4.2
Veg Kaathi Rolls,Peppery Veggie Roll,₹129,"Here to satisfy those big spicy cravings. Our Peppery Veggie Roll includes a variety of vegetables, seasoned with spices, and rolled up in laccha paratha. Now thats wow!",Veg,Spicy,Baap Of Rolls,"22, Civil Lines, Haridwar Road, Roorkee Locality, Roorkee",+911141182222,10:00 AM - 11:00 PM,0,4.2
Veg Kaathi Rolls,Veggie Korma Roll,₹129,A treasure trove of unique Indian flavours. Veggie Korma roll consisting of spiced vegetables cooked in a rich cashew and melon seed gravy. Rolled in laccha paratha and served with the mint sauce and tomato ketchup.,Veg,Normal,Baap Of Rolls,"22, Civil Lines, Haridwar Road, Roorkee Locality, Roorkee",+911141182222,10:00 AM - 11:00 PM,0,4.2
Veg Kaathi Rolls,Veggie Roll,₹109,"Disguised as a party sparkle. This Veggie Roll is a medly of fresh vegetables and other ingredients, rolled in laccha paratha served with mint sauce and tomato ketchup.",Veg,Normal,Baap Of Rolls,"22, Civil Lines, Haridwar Road, Roorkee Locality, Roorkee",+911141182222,10:00 AM - 11:00 PM,0,4.2
Chaap Kaathi Rolls,Achari Soya Chaap Roll,₹179,"Experience the unique and delicious flavors of our Achari Chaap Roll, where tangy pickle meets succulent chaap pieces. rolled in a flaky laccha paratha and topped with onions, sauces, and our secret masala. Not your average snack!",Veg,Normal,Baap Of Rolls,"22, Civil Lines, Haridwar Road, Roorkee Locality, Roorkee",+911141182222,10:00 AM - 11:00 PM,0,4.2
Chaap Kaathi Rolls,Afghani Soya Chaap Roll,₹189,"Indulge in the bold and tangy flavors of our Afghani Chaap Roll. Succulent chaap pieces marinated in flavorful spices and cream, rolled in a flaky laccha paratha, and topped with onions, sauces, and our secret masala.",Veg,Normal,Baap Of Rolls,"22, Civil Lines, Haridwar Road, Roorkee Locality, Roorkee",+911141182222,10:00 AM - 11:00 PM,0,4.2
Chaap Kaathi Rolls,Butter Chaap Roll,₹189,"Savor the scrumptious flavors of a butter chaap roll. Juicy chaap pieces marinated in a flavorful blend, cooked with Amul butter and a tomato-based gravy, all wrapped in a roll. Experience the delightful fusion of tastes in every bite.",Veg,Normal,Baap Of Rolls,"22, Civil Lines, Haridwar Road, Roorkee Locality, Roorkee",+911141182222,10:00 AM - 11:00 PM,0,4.2
Chaap Kaathi Rolls,Chilly Garlic Soya Chaap Roll,₹189,"Experience a burst of spicy and flavorful taste with our Chilly Garlic Chaap Roll. This delicious snack features chaap cooked in a delectable garlic and chili gravy, rolled in a flaky laccha paratha, and is a perfect choice for a quick and satisfying bite.",Veg,Spicy,Baap Of Rolls,"22, Civil Lines, Haridwar Road, Roorkee Locality, Roorkee",+911141182222,10:00 AM - 11:00 PM,0,4.2
Chaap Kaathi Rolls,Kadhai Soya Chaap Roll,₹199,"Indulge in the classic Tandoori Chaap Roll, a flavorful snack perfect for satisfying your hunger on-the-go. This roll features succulent pieces of marinated chaap wrapped in a flaky laccha paratha, and topped with onions, sauces, and our secret masala, for a delicious and satisfying bite.",Veg,Normal,Baap Of Rolls,"22, Civil Lines, Haridwar Road, Roorkee Locality, Roorkee",+911141182222,10:00 AM - 11:00 PM,0,4.2
Chaap Kaathi Rolls,Korma Soya Chaap Roll,₹169,"Indulge in the delicious and distinct flavors of our chaap korma roll. Tender and juicy chaap cooked in a creamy gravy of cashews and melon seeds, rolled in a flaky laccha paratha, garnished with sauces, onions, secret masala, and a hint of lemon juice.",Veg,Normal,Baap Of Rolls,"22, Civil Lines, Haridwar Road, Roorkee Locality, Roorkee",+911141182222,10:00 AM - 11:00 PM,0,4.2
Chaap Kaathi Rolls,Makhani Soya Chaap Roll,₹179,"Savor the creamy and rich flavors of our Makhani Chaap Roll, featuring succulent chaap rolled in a flaky laccha paratha and cooked in a delicious makhani gravy. Topped with a secret masala, fresh onions, and a variety of sauces for added flavor and texture.",Veg,Normal,Baap Of Rolls,"22, Civil Lines, Haridwar Road, Roorkee Locality, Roorkee",+911141182222,10:00 AM - 11:00 PM,0,4.2
