category,name,price,description,veg_nonveg,spice_level,restaurant name,location,contact,operating hour,dining rating,delivery rating
Navratri Specials,Fruit Falhari,₹140,Seasonal fruits.,Veg,Normal,Desi Tadka,"254/1, Civil Lines, Haridwar Highway Road, Roorkee Locality, Roorkee",+919897002272,10:00 AM - 11:00 PM,2.9,4.1
Navratri Specials,Sabudana ki Tikki,₹240,Made with potato & sabudana.,Veg,Normal,Desi Tadka,"254/1, Civil Lines, Haridwar Highway Road, Roorkee Locality, Roorkee",+919897002272,10:00 AM - 11:00 PM,2.9,4.1
Navratri Specials,Navratri Bhalle ke Chaat,₹120,Made with samak ke chawal.,Veg,Normal,Desi Tadka,"254/1, Civil Lines, Haridwar Highway Road, Roorkee Locality, Roorkee",+919897002272,10:00 AM - 11:00 PM,2.9,4.1
Navratri Specials,Navratri Kheer,₹140,Made with samak ke chawal.,Veg,Normal,Desi Tadka,"254/1, Civil Lines, Haridwar Highway Road, Roorkee Locality, Roorkee",+919897002272,10:00 AM - 11:00 PM,2.9,4.1
Navratri Specials,Mini Navratri Meals,₹260,Sabudana ke Tikki [6 Pieces]+Chips,Veg,Normal,Desi Tadka,"254/1, Civil Lines, Haridwar Highway Road, Roorkee Locality, Roorkee",+919897002272,10:00 AM - 11:00 PM,2.9,4.1
Navratri Specials,Navratri Thali [Mini],₹360,Bhalle ki Chaat+Sabudana ki Tikki [6 Pieces]+Fruit Chaat+Plain Dahi+Aloo ki Chips+Navratri Kheer+Hari Chutney,Veg,Normal,Desi Tadka,"254/1, Civil Lines, Haridwar Highway Road, Roorkee Locality, Roorkee",+919897002272,10:00 AM - 11:00 PM,2.9,4.1
Navratri Specials,Navratri Thali [Regular],₹420,Bhalla ki Chaat+Fruit Chaat+Aloo Moongfali ki Sabji+Paneer Makhani+Hari Chutney+Plain Dahi+2 Kuttu ke Paratha+Aloo Chips+Samak ke Kheer,Veg,Normal,Desi Tadka,"254/1, Civil Lines, Haridwar Highway Road, Roorkee Locality, Roorkee",+919897002272,10:00 AM - 11:00 PM,2.9,4.1
Navratri Specials,Mini Navratri Bhalla Chaat Meals,₹180,Samak Chawal Bhalla Chaat+Chips,Veg,Normal,Desi Tadka,"254/1, Civil Lines, Haridwar Highway Road, Roorkee Locality, Roorkee",+919897002272,10:00 AM - 11:00 PM,2.9,4.1
Lunch and Dinner Special Combos and Thali,Chole Kulcha Combo,₹268,Chole Kulcha+2 Stuffing Kulcha,Veg,Normal,Desi Tadka,"254/1, Civil Lines, Haridwar Highway Road, Roorkee Locality, Roorkee",+919897002272,10:00 AM - 11:00 PM,2.9,4.1
Lunch and Dinner Special Combos and Thali,Dal Makhani with Tawa Roti,₹268,Dal Makhani+Rice+4 Tawa Roti,Veg,Normal,Desi Tadka,"254/1, Civil Lines, Haridwar Highway Road, Roorkee Locality, Roorkee",+919897002272,10:00 AM - 11:00 PM,2.9,4.1
Lunch and Dinner Special Combos and Thali,Chole with Tawa Roti,₹268,Chole+4 Soft Tawa Roti+Gulab Jamun [1 Piece],Veg,Normal,Desi Tadka,"254/1, Civil Lines, Haridwar Highway Road, Roorkee Locality, Roorkee",+919897002272,10:00 AM - 11:00 PM,2.9,4.1
Lunch and Dinner Special Combos and Thali,Chole with Tawa Roti [No Onion No Garlic],₹268,Chole+Rice+4 Soft Tawa Roti+Gulab Jamun [1 Piece],Veg,Normal,Desi Tadka,"254/1, Civil Lines, Haridwar Highway Road, Roorkee Locality, Roorkee",+919897002272,10:00 AM - 11:00 PM,2.9,4.1
Lunch and Dinner Special Combos and Thali,Dal Tadka with Tawa Roti,₹268,Dal Tadka+Rice+4 Tawa Roti,Veg,Normal,Desi Tadka,"254/1, Civil Lines, Haridwar Highway Road, Roorkee Locality, Roorkee",+919897002272,10:00 AM - 11:00 PM,2.9,4.1
Lunch and Dinner Special Combos and Thali,Dal Tadka with Tawa Roti [No Onion No Garlic],₹268,Dal Tadka+Rice+4 Tawa Roti,Veg,Normal,Desi Tadka,"254/1, Civil Lines, Haridwar Highway Road, Roorkee Locality, Roorkee",+919897002272,10:00 AM - 11:00 PM,2.9,4.1
Lunch and Dinner Special Combos and Thali,Punjabi Dal Tadka with Tawa Roti,₹268,Punjabi Dal Tadka+Rice+4 Tawa Roti,Veg,Normal,Desi Tadka,"254/1, Civil Lines, Haridwar Highway Road, Roorkee Locality, Roorkee",+919897002272,10:00 AM - 11:00 PM,2.9,4.1
Lunch and Dinner Special Combos and Thali,Punjabi Dal Tadka with Tawa Roti [No Onion No Garlic],₹268,Punjabi Dal Tadka+Rice+4 Tawa Roti+Gulab Jamun [1 Piece],Veg,Normal,Desi Tadka,"254/1, Civil Lines, Haridwar Highway Road, Roorkee Locality, Roorkee",+919897002272,10:00 AM - 11:00 PM,2.9,4.1
