category,name,price,description,veg_nonveg,spice_level,restaurant name,location,contact,operating hour,dining rating,delivery rating
Rolls,Double Chicken Roll,₹168.57,"Double fun with double chicken strip filling, layerful parantha onions and two spicy sauce [1 unit of Double Chicken Roll, Serves 1]",Non-Veg,Spicy,KFC,"176, Ground Floor, Ganesh Complex, Nehru Nagar, Roorkee Locality, Roorkee",+917983459570,10:00 AM - 11:00 PM,4.1,4.1
Rolls,Classic Chicken Roll,₹119.05,"Street style roll with single chicken strip, onions and two spicy sauce [1 unit of Classic Chicken Roll]",Non-Veg,Spicy,KFC,"176, Ground Floor, Ganesh Complex, Nehru Nagar, Roorkee Locality, Roorkee",+917983459570,10:00 AM - 11:00 PM,4.1,4.1
Rolls,Double Chicken Roll Meal for 1,₹379.05,"Save Rs. 24 with a Double Chicken Roll with servings of 1 Large Fries, 2 delish dips and 1 Pepsi PET 475ml [1 unit of Double Chicken Roll, Serves 1]",Non-Veg,Normal,KFC,"176, Ground Floor, Ganesh Complex, Nehru Nagar, Roorkee Locality, Roorkee",+917983459570,10:00 AM - 11:00 PM,4.1,4.1
Rolls,Classic Chicken Roll Meal for 2,₹479.05,"2 units of The classic KFC Chicken Roll with servings of 1 Large Fries, 2 delish dips and 1 Pepsi PET 475ml [2 units of Classic Chicken Roll, Serves 2]",Non-Veg,Normal,KFC,"176, Ground Floor, Ganesh Complex, Nehru Nagar, Roorkee Locality, Roorkee",+917983459570,10:00 AM - 11:00 PM,4.1,4.1
Rolls,Thai Spicy Chicken Roll,₹139,"Fresh burst of Thai flavours and sauces in a flaky paratha, chicken strips and vegetables",Non-Veg,Normal,KFC,"176, Ground Floor, Ganesh Complex, Nehru Nagar, Roorkee Locality, Roorkee",+917983459570,10:00 AM - 11:00 PM,4.1,4.1
Rolls,Indian Tandoori Chicken Roll,₹139,"Flavorful roll made with flaky lachha paratha, perfectly fried chicken strips in rich and creamy tandoori sauce",Non-Veg,Normal,KFC,"176, Ground Floor, Ganesh Complex, Nehru Nagar, Roorkee Locality, Roorkee",+917983459570,10:00 AM - 11:00 PM,4.1,4.1
Rolls,Korean Tangy Chicken Roll,₹139,"Delicious new roll featuring tangy Korean kimchi, vegetables and crunchy chicken strips",Non-Veg,Normal,KFC,"176, Ground Floor, Ganesh Complex, Nehru Nagar, Roorkee Locality, Roorkee",+917983459570,10:00 AM - 11:00 PM,4.1,4.1
Rolls,Indian Spicy Veg Roll,₹119,Veg special spicy indian sauce and veggie roll,Veg,Spicy,KFC,"176, Ground Floor, Ganesh Complex, Nehru Nagar, Roorkee Locality, Roorkee",+917983459570,10:00 AM - 11:00 PM,4.1,4.1
Rolls,Korean & Thai Roll Chicken Meal,₹569,"Rs. 114 Off on Korean Tangy Roll & Thai Spicy Roll, Large Popcorn, Large Fries & Pepsi PET 475ml",Non-Veg,Spicy,KFC,"176, Ground Floor, Ganesh Complex, Nehru Nagar, Roorkee Locality, Roorkee",+917983459570,10:00 AM - 11:00 PM,4.1,4.1
Rolls,Indian Tandoori Roll Chicken Meal,₹419,"Save Rs. 75 on Indian Tandoori Roll, Classic Zinger Burger, Medium Fries & Pepsi PET 475ml",Non-Veg,Normal,KFC,"176, Ground Floor, Ganesh Complex, Nehru Nagar, Roorkee Locality, Roorkee",+917983459570,10:00 AM - 11:00 PM,4.1,4.1
