category,name,price,description,veg_nonveg,spice_level,restaurant name,location,contact,operating hour,dining rating,delivery rating
All-New Juicylicious Pizzas & More!,Kadhai Chicken Melts,₹309,"New | Thin & Crispy crust, loaded with chicken tikka, capsicum, onion, 100% mozzarella cheese, flavorful Kadhai sauce, folded over and baked , then brushed with herbed butter and sprinkled with Makhni seasoning. 330.8 Kcal/100g. Contains Cereals containing Gluten (Wheat), Soya and Milk & Milk Products",Non-Veg,Normal,Pizza Hut,"2, NH 58, Civil Lines, Civil Lines, Roorkee, Uttarakhand 247667, Roorkee Locality, Roorkee",+919643105647,10:00 AM - 11:00 PM,4.2,4.1
All-New Juicylicious Pizzas & More!,Kadhai Paneer Melts,₹299,"New | Thin & Crispy crust, loaded with spiced paneer, capsicum, onion, 100% mozzarella cheese, flavorful Kadhai sauce, folded over and baked, then brushed with herbed butter and sprinkled with Makhni seasoning.  269.9 Kcal/100g.  Contains Cereals containing Gluten (Wheat), Soya and Milk & Milk Products",Veg,Normal,Pizza Hut,"2, NH 58, Civil Lines, Civil Lines, Roorkee, Uttarakhand 247667, Roorkee Locality, Roorkee",+919643105647,10:00 AM - 11:00 PM,4.2,4.1
All-New Juicylicious Pizzas & More!,Royal Spice Chicken Melts,₹279,"New | Thin & Crispy crust, loaded with chicken tikka, malai tikka, onion, 100% mozzarella cheese, sauce packed with rich, aromatic spices, folded over and baked, then brushed with herbed butter and sprinkled with Makhni seasoning. 334.86 Kcal/100g.  Contains Cereals containing Gluten (Wheat), Soya and Milk & Milk Products",Non-Veg,Normal,Pizza Hut,"2, NH 58, Civil Lines, Civil Lines, Roorkee, Uttarakhand 247667, Roorkee Locality, Roorkee",+919643105647,10:00 AM - 11:00 PM,4.2,4.1
All-New Juicylicious Pizzas & More!,Royal Spice Paneer Melts,₹229,"New | Thin & Crispy crust, loaded with spiced paneer, onion, 100% mozzarella cheese, sauce packed with rich, aromatic spices, folded over and baked, then brushed with herbed butter and sprinkled with Makhni seasoning. 274.7 Kcal/100g.  Contains Cereals containing Gluten (Wheat), Soya and Milk & Milk Products",Veg,Normal,Pizza Hut,"2, NH 58, Civil Lines, Civil Lines, Roorkee, Uttarakhand 247667, Roorkee Locality, Roorkee",+919643105647,10:00 AM - 11:00 PM,4.2,4.1
All-New Juicylicious Pizzas & More!,Indi Keema Garlic Bread Combo,₹189,"New | Indulge in a delightful combo of Masala Keema Garlic Bread, in two exciting flavors: Kadhai and Southern Fiery (2pc each). 437.4 Kcal/100g. Contains Cereals containing Gluten (Wheat), Soya and Milk & Milk Products",Non-Veg,Spicy,Pizza Hut,"2, NH 58, Civil Lines, Civil Lines, Roorkee, Uttarakhand 247667, Roorkee Locality, Roorkee",+919643105647,10:00 AM - 11:00 PM,4.2,4.1
All-New Juicylicious Pizzas & More!,Southern Fiery Keema Garlic Bread,₹189,"New | Hut's Signature Garlic Bread topped with chicken keema masala, onion, green chillies and a fiery sauce bursting with traditional southern spices. 436.54 Kcal/100g.  Contains Cereals containing Gluten (Wheat), Soya and Milk & Milk Products",Non-Veg,Spicy,Pizza Hut,"2, NH 58, Civil Lines, Civil Lines, Roorkee, Uttarakhand 247667, Roorkee Locality, Roorkee",+919643105647,10:00 AM - 11:00 PM,4.2,4.1
All-New Juicylicious Pizzas & More!,Southern Fiery Garlic Bread,₹159,"New | Hut's Signature Garlic Bread topped with onion, green chillies and a fiery sauce bursting with traditional southern spices. 385.6 Kcal/100g.  Contains Cereals containing Gluten (Wheat), Soya and Milk & Milk Products",Veg,Spicy,Pizza Hut,"2, NH 58, Civil Lines, Civil Lines, Roorkee, Uttarakhand 247667, Roorkee Locality, Roorkee",+919643105647,10:00 AM - 11:00 PM,4.2,4.1
All-New Juicylicious Pizzas & More!,Kadhai Keema Garlic Bread,₹189,"New | Hut's Signature Garlic Bread topped with chicken keema masala, onion, green chillies and rich Kadhai Sauce. 438.2 Kcal/100g.  Contains Cereals containing Gluten (Wheat), Soya and Milk & Milk Products",Non-Veg,Spicy,Pizza Hut,"2, NH 58, Civil Lines, Civil Lines, Roorkee, Uttarakhand 247667, Roorkee Locality, Roorkee",+919643105647,10:00 AM - 11:00 PM,4.2,4.1
All-New Juicylicious Pizzas & More!,Indi Garlic Bread Combo,₹159,"New | Treat yourself to a flavorful combo of Garlic Bread in two exciting flavours: Kadhai and Southern Fiery (2pc each). 379.7 Kcal/100g. Contains Cereals containing Gluten (Wheat), Soya and Milk & Milk Products",Veg,Spicy,Pizza Hut,"2, NH 58, Civil Lines, Civil Lines, Roorkee, Uttarakhand 247667, Roorkee Locality, Roorkee",+919643105647,10:00 AM - 11:00 PM,4.2,4.1
All-New Juicylicious Pizzas & More!,Kadhai Garlic Bread,₹159,"New | Hut's Signature Garlic Bread topped with onion, green chillies and rich Kadhai Sauce. 374.1 Kcal/100g.  Contains Cereals containing Gluten (Wheat), Soya and Milk & Milk Products",Veg,Spicy,Pizza Hut,"2, NH 58, Civil Lines, Civil Lines, Roorkee, Uttarakhand 247667, Roorkee Locality, Roorkee",+919643105647,10:00 AM - 11:00 PM,4.2,4.1
All-New Juicylicious Pizzas & More!,Baked Royal Spice Chicken Wings 4pc,₹219,"New | Chicken wings baked in a sauce full of rich, aromatic spices. It's a flavor fiesta! 4pc. 228.8 Kcal/100g.  Contains Cereals containing Gluten (Wheat), Soya and Milk & Milk Products",Non-Veg,Normal,Pizza Hut,"2, NH 58, Civil Lines, Civil Lines, Roorkee, Uttarakhand 247667, Roorkee Locality, Roorkee",+919643105647,10:00 AM - 11:00 PM,4.2,4.1
All-New Juicylicious Pizzas & More!,Baked Southern Fiery Chicken Wings 6pc,₹259,"New | Chicken wings baked in a fiery sauce, bursting with traditional southern spices. 6pc. 225.5 Kcal/100g.  Contains Cereals containing Gluten (Wheat), Soya and Milk & Milk Products",Non-Veg,Spicy,Pizza Hut,"2, NH 58, Civil Lines, Civil Lines, Roorkee, Uttarakhand 247667, Roorkee Locality, Roorkee",+919643105647,10:00 AM - 11:00 PM,4.2,4.1
All-New Juicylicious Pizzas & More!,Baked Southern Fiery Chicken Wings 4pc,₹219,"New | Chicken wings baked in a fiery sauce, bursting with traditional southern spices. 4pc. 225.5 Kcal/100g.  Contains Cereals containing Gluten (Wheat), Soya and Milk & Milk Products",Non-Veg,Spicy,Pizza Hut,"2, NH 58, Civil Lines, Civil Lines, Roorkee, Uttarakhand 247667, Roorkee Locality, Roorkee",+919643105647,10:00 AM - 11:00 PM,4.2,4.1
All-New Juicylicious Pizzas & More!,Baked Royal Spice Chicken Wings 6pc,₹259,"New | Chicken wings baked in a sauce full of rich, aromatic spices. It's a flavor fiesta! 6pc. 228.8 Kcal/100g.  Contains Cereals containing Gluten (Wheat), Soya and Milk & Milk Products",Non-Veg,Normal,Pizza Hut,"2, NH 58, Civil Lines, Civil Lines, Roorkee, Uttarakhand 247667, Roorkee Locality, Roorkee",+919643105647,10:00 AM - 11:00 PM,4.2,4.1
All-New Juicylicious Pizzas & More!,Southern Fiery Paneer,₹319,"New | Spice up your day with pizza topped with juicy marinated paneer, green capsicum, tomato, and a fiery sauce bursting with traditional southern spices. 329.9 Kcal/100g.  Contains Cereals containing Gluten (Wheat), Soya and Milk & Milk Products",Veg,Spicy,Pizza Hut,"2, NH 58, Civil Lines, Civil Lines, Roorkee, Uttarakhand 247667, Roorkee Locality, Roorkee",+919643105647,10:00 AM - 11:00 PM,4.2,4.1
All-New Juicylicious Pizzas & More!,Royal Spice Chicken,₹379,"New | Indulge in a royal delight with juicy marinated chicken, tomato, onion, and a sauce packed with rich, aromatic spices.  276.6 Kcal/100g.  Contains Cereals containing Gluten (Wheat), Soya and Milk & Milk Products",Non-Veg,Normal,Pizza Hut,"2, NH 58, Civil Lines, Civil Lines, Roorkee, Uttarakhand 247667, Roorkee Locality, Roorkee",+919643105647,10:00 AM - 11:00 PM,4.2,4.1
All-New Juicylicious Pizzas & More!,Royal Spice Paneer,₹319,"New | Indulge in a royal delight with juicy marinated paneer, tomato, onion, and a sauce packed with rich, aromatic spices.249.32 Kcal/100g.  Contains Cereals containing Gluten (Wheat), Soya and Milk & Milk Products.",Veg,Normal,Pizza Hut,"2, NH 58, Civil Lines, Civil Lines, Roorkee, Uttarakhand 247667, Roorkee Locality, Roorkee",+919643105647,10:00 AM - 11:00 PM,4.2,4.1
All-New Juicylicious Pizzas & More!,Kadhai Chicken,₹379,"New | Take your taste buds on a joyride with juicy marinated chicken, capsicum, and onion, all coated in flavorful Kadhai sauce. 272.9 Kcal/100g.  Contains Cereals containing Gluten (Wheat), Soya and Milk & Milk Products",Non-Veg,Normal,Pizza Hut,"2, NH 58, Civil Lines, Civil Lines, Roorkee, Uttarakhand 247667, Roorkee Locality, Roorkee",+919643105647,10:00 AM - 11:00 PM,4.2,4.1
All-New Juicylicious Pizzas & More!,Southern Fiery Chicken,₹379,"New | Spice up your day with pizza topped with juicy marinated chicken, green capsicum, tomato, and a fiery sauce bursting with traditional southern spices. 276.2 Kcal/100g.  Contains Cereals containing Gluten (Wheat), Soya and Milk & Milk Products",Non-Veg,Spicy,Pizza Hut,"2, NH 58, Civil Lines, Civil Lines, Roorkee, Uttarakhand 247667, Roorkee Locality, Roorkee",+919643105647,10:00 AM - 11:00 PM,4.2,4.1
All-New Juicylicious Pizzas & More!,Kadhai Paneer,₹319,"New | Take your taste buds on a joyride with juicy marinated paneer, capsicum, and onion, all coated in flavorful Kadhai sauce. 329.8 Kcal/100g.  Contains Cereals containing Gluten (Wheat), Soya and Milk & Milk Products.",Veg,Normal,Pizza Hut,"2, NH 58, Civil Lines, Civil Lines, Roorkee, Uttarakhand 247667, Roorkee Locality, Roorkee",+919643105647,10:00 AM - 11:00 PM,4.2,4.1
Late Night Craving,Cheesy-Choco Comfort Combo,₹456,"Get 1 personal Margherita Pizza, 1 Pepsi, 2 pc. Cheese Garlic Bread & 1 Choco Volcano. Cheesy dreams, guaranteed! For Meals, refer to the nutritional data for individual products.",Veg,Normal,Pizza Hut,"2, NH 58, Civil Lines, Civil Lines, Roorkee, Uttarakhand 247667, Roorkee Locality, Roorkee",+919643105647,10:00 AM - 11:00 PM,4.2,4.1
