category,name,price,description,veg_nonveg,spice_level,restaurant name,location,contact,operating hour,dining rating,delivery rating
Today's Exclusive Dishes,Fiery Jalapeno & Paprika,₹179,Spiciest veg pizza with jalapeno & red paprika toppings and a new spicy peri peri sauce.,Veg,Spicy,Domino's Pizza,"Ground Floor, New No. 1068 & Old No. 321(1-2), 8, Civil Lines, opp. Methodist Girls college, Roorkee, Uttarakhand 247667, Roorkee Locality, Roorkee",+911332275420,10:00 AM - 11:00 PM,3.7,3.8
Today's Exclusive Dishes,Peppy Paneer Pizza,₹269,"Flavorful trio of juicy paneer, crisp capsicum with spicy red paprika",Veg,Spicy,Domino's Pizza,"Ground Floor, New No. 1068 & Old No. 321(1-2), 8, Civil Lines, opp. Methodist Girls college, Roorkee, Uttarakhand 247667, Roorkee Locality, Roorkee",+911332275420,10:00 AM - 11:00 PM,3.7,3.8
Today's Exclusive Dishes,Farmhouse Pizza,₹269,"Delightful combination of onion, capsicum, tomato & grilled mushroom. Available in Cheese Burst, Wheat Thin Crust and Pan Crust options.",Veg,Normal,Domino's Pizza,"Ground Floor, New No. 1068 & Old No. 321(1-2), 8, Civil Lines, opp. Methodist Girls college, Roorkee, Uttarakhand 247667, Roorkee Locality, Roorkee",+911332275420,10:00 AM - 11:00 PM,3.7,3.8
Big Big Pizza,Big Big 6in1 Pizza - Non Veg,₹1894,"6 Chicken Bangers in 1 Epic Pan Pizza: Pepper Barbeque Chicken, Chicken Dominator, Chicken Fiesta, Spiced Double Chicken, Chicken Pepperoni, Chicken Golden Delight",Non-Veg,Normal,Domino's Pizza,"Ground Floor, New No. 1068 & Old No. 321(1-2), 8, Civil Lines, opp. Methodist Girls college, Roorkee, Uttarakhand 247667, Roorkee Locality, Roorkee",+911332275420,10:00 AM - 11:00 PM,3.7,3.8
Big Big Pizza,Big Big 6in1 Pizza - Veg,₹1394,"6 Veggie Blockbusters in 1 Epic Pan Pizza: Corn N Cheese, Peppy Paneer, Farmhouse, Mexican Green Wave, Veg Paradise, Margherita",Veg,Normal,Domino's Pizza,"Ground Floor, New No. 1068 & Old No. 321(1-2), 8, Civil Lines, opp. Methodist Girls college, Roorkee, Uttarakhand 247667, Roorkee Locality, Roorkee",+911332275420,10:00 AM - 11:00 PM,3.7,3.8
Cheese Burst - 3 New Flavours,Peppy Paneer Cheese Burst,₹348,"Now in 3 New Flavours - Molten Cheese Indulgence with Flavorful trio of juicy paneer, crisp capsicum & spicy red paprika",Veg,Spicy,Domino's Pizza,"Ground Floor, New No. 1068 & Old No. 321(1-2), 8, Civil Lines, opp. Methodist Girls college, Roorkee, Uttarakhand 247667, Roorkee Locality, Roorkee",+911332275420,10:00 AM - 11:00 PM,3.7,3.8
Cheese Burst - 3 New Flavours,Farmhouse Cheese Burst,₹348,"Now in 3 New Flavours - Molten Cheese Indulgence with combination of onion, capsicum, tomato & grilled mushroom",Veg,Normal,Domino's Pizza,"Ground Floor, New No. 1068 & Old No. 321(1-2), 8, Civil Lines, opp. Methodist Girls college, Roorkee, Uttarakhand 247667, Roorkee Locality, Roorkee",+911332275420,10:00 AM - 11:00 PM,3.7,3.8
Cheese Burst - 3 New Flavours,Veggie Paradise Cheese Burst,₹348,"Now in 3 New Flavours - Molten Cheese Indulgence with Golden corn, black olives, capsicum & red paprika",Veg,Normal,Domino's Pizza,"Ground Floor, New No. 1068 & Old No. 321(1-2), 8, Civil Lines, opp. Methodist Girls college, Roorkee, Uttarakhand 247667, Roorkee Locality, Roorkee",+911332275420,10:00 AM - 11:00 PM,3.7,3.8
Cheese Burst - 3 New Flavours,Margherita Cheese Burst,₹188,Now in 3 New Flavours - Molten Cheese Indulgence with delight of 100% real mozzarella cheese,Veg,Normal,Domino's Pizza,"Ground Floor, New No. 1068 & Old No. 321(1-2), 8, Civil Lines, opp. Methodist Girls college, Roorkee, Uttarakhand 247667, Roorkee Locality, Roorkee",+911332275420,10:00 AM - 11:00 PM,3.7,3.8
Cheese Burst - 3 New Flavours,Spiced Double Chicken Pizza,₹388,Molten Cheese Indulgence with combination of Pepper Barbecue Chicken & Peri Peri Chicken for Chicken lovers,Non-Veg,Spicy,Domino's Pizza,"Ground Floor, New No. 1068 & Old No. 321(1-2), 8, Civil Lines, opp. Methodist Girls college, Roorkee, Uttarakhand 247667, Roorkee Locality, Roorkee",+911332275420,10:00 AM - 11:00 PM,3.7,3.8
Cheese Burst - 3 New Flavours,Mexican Green Wave Cheese Burst,₹348,"Now in 3 New Flavours - Molten Cheese Indulgence with Mexican herbs sprinkled on onion, capsicum, tomato & jalapeno",Veg,Normal,Domino's Pizza,"Ground Floor, New No. 1068 & Old No. 321(1-2), 8, Civil Lines, opp. Methodist Girls college, Roorkee, Uttarakhand 247667, Roorkee Locality, Roorkee",+911332275420,10:00 AM - 11:00 PM,3.7,3.8
